id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,name,retweet_count,text,tweet_created,tweet_id,tweet_location,user_timezone
14056,No candidate mentioned,1,Yes,1,Negative,0.683,None of the above,1,chrismanderson,195,RT @fl_dreamer: Haha a little saas from @voxdotcom this morning towards @realDonaldTrump. #FactChecked #GOPDebate http://t.co/dAeCtmLlaj,07-08-2015 09:50,6.30E+17,"Mount Airy, North Carolina",Eastern Time (US & Canada)
13358,Donald Trump,1,Yes,1,Positive,1,Women's Issues (not abortion though),0.6489,Shirleystopirs,2,Holy crap! &gt; http://t.co/q81ysLXE47 ~ this lady is as sharp as it gets &gt; @CarlyFiorina ~ watch out boys! #GOPDebate,07-08-2015 09:42,6.30E+17,The Fla,Eastern Time (US & Canada)
7941,Mike Huckabee,1,Yes,1,Neutral,1,None of the above,0.6729,held_jana,0,Up next we get #GOPDebate reaction from @dbongino. @WBALRadio and http://t.co/wTDQ8gmvEl,,6.30E+17,"Riverside, CA - USA",Pacific Time (US & Canada)
5210,Donald Trump,0.6983,No,1,Negative,0.3547,None of the above,1,beaujolais1,6,RT @fl_dreamer: Haha a little saas from @voxdotcom this morning towards @realDonaldTrump. #FactChecked #GOPDebate http://t.co/dAeCtmLlaj,07-08-2015 09:48,6.30E+17,"Alaska,South Central",Alaska
9055,No candidate mentioned,1,No,1,Neutral,0.6957,FOX News or Moderators,1,realmojesse5372,5,RT @STEEL5757: ðŸŽ€ #DonaldTrump Plaza Casino #TeddyBear Plush in #Tuxedo ðŸŽ€ http://t.co/QHTTX0PLDG ðŸŽ€ #CoolStuff #GOPDebate http://t.co/QJUnzjYâ€¦,,6.30E+17,Los Angeles,Pacific Time (US & Canada)
3722,No candidate mentioned,1,Yes,1,Negative,0.6739,None of the above,1,summer0655,1,"RT @XLNB: Black people, if you need anymore indication why Republicans hate us. Peep this. #GOPDebate http://t.co/Bh0ChsY5Eh",07-08-2015 09:48,6.30E+17,,Central Time (US & Canada)
4070,No candidate mentioned,1,Yes,1,Positive,1,FOX News or Moderators,1,Andersonista,0,"Watching the primetime #GOPDebate this afternoon, I think @BenCarson2016 was the real winner, quiet but effective",07-08-2015 09:45,6.30E+17,#gunrights #legalimmigration,Alaska
12966,No candidate mentioned,1,No,1,Negative,0.6553,None of the above,1,mralphafreak,0,".@TajMagruder Say it with me, GOP: Bashing .@HillaryClinton is not a campaign platform! #GOPDebate",07-08-2015 09:46,6.30E+17,USA,America/New_York
2688,Mike Huckabee,0.6608,Yes,1,Positive,0.6608,Abortion,1,mhfa16ok,6,.@ljcambria @realDonaldTrump Don't forget to vote for him! Especislly when he has to go Independent! #LULZ  #HUCKSTER #RNC #GOP #GOPDebate,07-08-2015 09:44,6.30E+17,Indiana ,Indiana (East)
12743,No candidate mentioned,1,Yes,1,Negative,0.7049,None of the above,1,chadallanjones,0,RT @pfikac: .@JebBush 'We are on the verge of the greatest time to be alive in this world but Washington is holding us back' #mysa #txlege â€¦,07-08-2015 09:48,6.30E+17,"Kansas City, MO",Central Time (US & Canada)
8295,Rand Paul,1,No,1,Negative,1,None of the above,1,borsato79,0,"That pose is SO awkward. Who in the hell did she work with?  She's stiff, not natural. Kinda like the #GOPDebate last night. @Pissed_Pat",07-08-2015 09:48,6.30E+17,Northern Hemisphere - Earth,Eastern Time (US & Canada)
3121,Donald Trump,1,Yes,1,Neutral,0.6708,FOX News or Moderators,1,Slim_Shady2o3,482,RT @TheBaxterBean: Rick Santorum said it best. #GOPDebate http://t.co/J97RbjEYlV,,6.30E+17,Fla/Mich,Central Time (US & Canada)
8129,No candidate mentioned,1,Yes,1,Negative,0.6632,None of the above,0.6947,SenoritaJess,0,Trump just said @JebBush is a true gentleman &amp; then they started violently 69ing. #GOPDebate,07-08-2015 09:49,6.30E+17,"California, USA",Pacific Time (US & Canada)
8215,Rand Paul,1,Yes,1,Negative,0.6848,None of the above,1,agentc2,0,RT @theonlyadult: This is the @POTUS we have now. One of the people on TV now might be the next one. RIP everything. #GOPDebate http://t.coâ€¦,07-08-2015 09:48,6.30E+17,Missouri & Florida Wisconsin,Mountain Time (US & Canada)
120,No candidate mentioned,1,Yes,1,Neutral,1,FOX News or Moderators,1,annykatzy,2,RT @Writeintrump: Anyone know why Megan Kelly was so pissed at me during the #GOPDebate? I'm pretty sure I was never married to her.,,6.30E+17,Las Vegas NV,
1999,No candidate mentioned,1,No,1,Neutral,0.6818,None of the above,1,akbarjenkins,1,I didn't watch all of last night's #GOPDebate (because I can't even..). Was there anything about civil rights or climate change?,,6.30E+17,"IN, USA",
5335,No candidate mentioned,1,Yes,1,Negative,1,None of the above,1,ChristenDellett,7,hadiyah: Somebody needs to get the water off the stage before Trump and Paul start tossing drinks at each other. #GOPDebate,07-08-2015 09:47,6.30E+17,"Los Angeles, CA ",Pacific Time (US & Canada)
10646,Rand Paul,0.6591,No,1,Neutral,1,None of the above,1,georgecorey4,5,Last night the GOP faced up to the Yellow Peril... @theclementlime watched so you don't have to https://t.co/rOfWhAOX6G #GOPDebate,,6.30E+17,,
4676,No candidate mentioned,1,No,1,Neutral,1,None of the above,1,rwyckoff46,1447,"RT @RedStateJake: Looking for a new candidate to support after last night's #GOPDebate?

http://t.co/p7HNjW98Fn

#Carly2016 #tcot #tlot httâ€¦",,6.30E+17,Arizona,Arizona
3115,John Kasich,0.678,Yes,1,Neutral,0.6615,Jobs and Economy,1,kevinburger72,73,"If you're sick of #GOPDebate analysis, wait until Sunday night when @iamjohnoliver and @LastWeekTonight are locks to make us all LOL.",,6.30E+17,Arizona,Arizona
5431,Mike Huckabee,1,Yes,1,Negative,0.6429,Foreign Policy,0.6786,cohnjc,1,@YaleClimateComm @JerryBrownGov not a peep from them...  It's because they take $$ from oil &amp; gas!  Why would they #ActOnClimate #GOPDebate,07-08-2015 09:46,6.30E+17,California,Pacific Time (US & Canada)
7879,No candidate mentioned,1,Yes,1,Neutral,1,Women's Issues (not abortion though),1,grady77,95,RT @ScottWalker: Russia &amp; China know more about @HillaryClintonâ€™s email server than Congress #GOPdebate #Walker16     http://t.co/Sd0cpKGhw1,,6.30E+17,Earth,Mountain Time (US & Canada)
10965,No candidate mentioned,1,Yes,1,Neutral,0.6966,None of the above,1,patteecakes9,728,"RT @HeatherNauert: ""Instead of fighting among ourselves...we should be focused on #HillaryClinton "" @ScottWalker tells @foxandfriends post â€¦",,6.30E+17,Il USA,Eastern Time (US & Canada)
89,Donald Trump,1,No,1,Neutral,1,None of the above,0.3483,DoremusJ,13,"RT @TheBaxterBean: Rubio Budget Raises MiddleClass Taxes, Adds $4.5T Deficit, Cuts InvestmentTax To $0 http://t.co/9S9NuVSAf7 #GOPDebate htâ€¦",,6.30E+17,Southwest USA,
13681,No candidate mentioned,1,Yes,1,Neutral,0.6629,Abortion,1,SableViews,7,"RT @hwrudulph: Take a break from the #GOPDebate and reminisce with me on the awesome, groundbreaking badassery of #QueenLatifah. http://t.câ€¦",,6.30E+17,Washington State,
14264,No candidate mentioned,1,Yes,1,Negative,1,None of the above,1,mauritaniafrica,0,"RT @BenJamminWalker: Under no circumstances should 10 men dictate abortion rights to women. It's the 21st Century, we are better than that.â€¦",07-08-2015 09:48,6.30E+17,"Santa Barbara, CA",Pacific Time (US & Canada)
6372,No candidate mentioned,1,No,1,Neutral,1,None of the above,1,DouglasRobert70,18,@HuntsmanAbby @SIRIUSXM @PeteDominick @krystalball #GOPDebate  @JonHuntsman https://t.co/AyxbtXwsKR Money Can't Buy Me Love? It Can -D Trump,,6.30E+17,,
14334,Chris Christie,1,No,1,Negative,0.6662,None of the above,1,drewbaxta,0,"hadiyah: Bruh, Ben Carson is boring AF! He need to punch Trump in the face so he can get in the game. #GOPDebate",07-08-2015 09:47,6.30E+17,"Salt Lake City, Utah",Quito
9259,Rand Paul,0.6591,No,1,Neutral,1,None of the above,1,georgecorey4,5,RT @BONNIELYNN2015: #GOPDebate. My impression but i could be wrong http://t.co/uBw1sfgKzh,,6.30E+17,,
8136,No candidate mentioned,0.4495,No,0.6705,Negative,0.3409,None of the above,0.4495,CharlesMcNulty,1,RT @palmaceiahome1: Trump should have told Megyn Kelly to go to HELL! #FoxNews #GOPDebate,07-08-2015 09:49,6.30E+17,,Eastern Time (US & Canada)
1871,Donald Trump,1,Yes,1,Neutral,1,Women's Issues (not abortion though),0.6634,danijeantheq,149,"RT @Russian_Starr: If you're in NYC, turn in to @NY1at 7 p.m. You'll see me discussing NYC politics and the #GOPDebate.",,6.30E+17,,Mountain Time (US & Canada)
4462,No candidate mentioned,1,Yes,1,Positive,0.3361,None of the above,1,Baaslish,0,RT @CarlyFiorina: I know how extraordinary this nation is. #GOPDebate,07-08-2015 09:41,6.30E+17,"Florida, USA",Indiana (East)
7659,No candidate mentioned,0.4025,No,0.6344,Neutral,0.6344,Immigration,0.4025,EusebiaAq,0,"The #GOPDebate as theater, made-for-TV (&amp; web) drama, (and, duh) reality TV, via @CharlesMcNulty @latimes http://t.co/lTZD4fxR8b",,6.30E+17,Delaware,Eastern Time (US & Canada)
4645,No candidate mentioned,0.3999,No,0.6324,Neutral,0.3296,None of the above,0.3999,DeisenrothJune,255,RT @STrimel: No one summed it up better than #BernieSanders. #GOPDebate  https://t.co/jL65PKp3Ua,,6.30E+17,,
13715,No candidate mentioned,1,No,1,Neutral,1,None of the above,1,MikeT1647,0,"RT @ag_texas: Hillary Clinton's response to the #GOPdebate: those guys are ok, but can they secure thousands of votes from illegals?",,6.30E+17,,
11740,,0.2369,No,0.6145,Positive,0.6145,,0.2369,DSMLiberal,10,"RT @GovMikeHuckabee: .@FrankLuntz #GOPDebate analysis, ""Who won? @GovMikeHuckabee"" --&gt; http://t.co/fWGhqVZ9dG #ImWithHuck",07-08-2015 09:43,6.30E+17,,Stockholm
11971,No candidate mentioned,0.4355,No,0.6599,Positive,0.3514,None of the above,0.4355,steventeaster,2,#GOPDebate #Trump is Breaking Records! So what he's not a polished Politician. Makes me love him even more.  https://t.co/TgOwCHxf3x,07-08-2015 09:41,6.30E+17,"La Verne, CA",Pacific Time (US & Canada)
2203,No candidate mentioned,1,No,1,Negative,1,None of the above,1,wetsprocket,6,RT @GerryDuggan: The Kryptonian science council was more worried about climate change than these scary people. #GOPDebate,07-08-2015 09:49,6.30E+17,Canada,Central Time (US & Canada)
7637,No candidate mentioned,1,Yes,1,Neutral,1,Religion,1,markmcandrew,334,"RT @Anergo_Teacher: Imagine a #Trump Administration dealing with a US-Russia crisis. 

WWIII #GOPDebate",,6.30E+17,,
6308,Donald Trump,1,No,1,Neutral,0.6941,FOX News or Moderators,0.6941,CaptainDoone,1,"""An Open Letter to @megynkelly: It's Not Too Late to Become a Feminist"" by @LynnBeisner #GOPDebate http://t.co/TYqj9T34Kg",,6.30E+17,"Ellicott City, Maryland",Eastern Time (US & Canada)
5399,Donald Trump,0.6882,Yes,1,Negative,0.6452,None of the above,1,garrulous34,0,RT @jimtrue48: @Treezilla @hereistheanswer I don't mind hardball questions but I don't like an ambush aimed at taking someone out of the raâ€¦,07-08-2015 09:47,6.30E+17,Twitter,
1614,Marco Rubio,1,Yes,1,Neutral,0.6545,None of the above,0.6545,unicornmajik,46,Highlight video part 2 from the #Iowa #GOPDebate parties last night. Full video here. https://t.co/ZAQ07p8qY6 http://t.co/b2meuKtY63,,6.30E+17,Seattle ,
10685,No candidate mentioned,1,No,1,Neutral,1,FOX News or Moderators,0.6629,helenehrenhofer,16,The First #GOPDebate: Social Media Reaction and More http://t.co/sBvY8iiruF,,6.30E+17,NYC,Quito
500,No candidate mentioned,1,Yes,1,Negative,1,Abortion,1,_faaaaded_,508,RT @warriorwoman91: I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly  https://â€¦,07-08-2015 09:50,6.30E+17,"Atlanta, GA",Eastern Time (US & Canada)
12062,No candidate mentioned,1,No,1,Neutral,1,FOX News or Moderators,1,search4rr,154,"RT @GovernorPerry: .@GovernorPerry's ""On Fire"" Debate Performance https://t.co/aRmJN6vwPG #GOPDebate #Perry2016 #tcot",,6.30E+17,Delaware,Eastern Time (US & Canada)
3144,No candidate mentioned,0.451,No,0.6716,Neutral,0.3372,FOX News or Moderators,0.2264,TheRightback1,226,"RT @JHoganGidley: ""We've got a clip from Mike Huckabee that was the number 1 dial clip of the ENTIRE 2 hours,"" @FrankLuntz. #GOPDebate httpâ€¦",,6.30E+17,"Brooklyn, NY",Eastern Time (US & Canada)
12763,Marco Rubio,1,No,1,Negative,1,None of the above,1,LucasEVieira,0,"RT @ChrisJZullo: Last night they could have have raised their hands. I'm a spoiled billionaire, I'm an oligarch, I'm a racist, I'm a religiâ€¦",07-08-2015 09:48,6.30E+17,"New York, NY",Eastern Time (US & Canada)
12757,Donald Trump,1,No,1,Negative,1,Women's Issues (not abortion though),1,SkyNebulaWmn,0,"RT @JohnKasich: Hey @RealDonaldTrump, if you're still looking to chip in, check out http://t.co/dy8KnZ122T

#GOPDebate",07-08-2015 09:48,6.30E+17,,
4807,No candidate mentioned,1,No,1,Neutral,1,Immigration,0.6854,jojo21,40,RT @bob_owens: #GOPDebate so far. http://t.co/Y4apHoxW6y,,6.30E+17,Florida âœˆ ï¸New York,Eastern Time (US & Canada)
10550,Mike Huckabee,1,No,1,Neutral,0.6458,None of the above,0.6762,Matthew8News,0,"RT @pattonoswalt: ""Have any of you received a word from God?"" = ""Are any of you soup-sandwich crazy?"" #GOPDebate",,6.30E+17,,
13998,Donald Trump,0.2337,Yes,0.6277,Neutral,0.3511,None of the above,0.394,JodyPaulson,0,"Tickets to the circus - check, last nights entertainment was all I needed!  Thanks #GOP #GOPDebate",,6.30E+17,seattle,Pacific Time (US & Canada)
9304,Donald Trump,0.4768,No,0.6905,Neutral,0.6905,Women's Issues (not abortion though),0.4768,amapes3,0,"Gov. Mike Huckabee @GovMikeHuckabee
.@FrankLuntz #GOPDebate analysis, ""Who won? @GovMikeHuckabee"" --&gt;... http://t.co/LDyp98eyZg",,6.30E+17,Texas State University ,
11324,No candidate mentioned,0.442,No,0.6649,Negative,0.6649,None of the above,0.442,mhansle,40,RT @LilaGraceRose: .@megynkelly Abortion is never medically necessary. Why are you touting @PPact talking points in question to @ScottWalkeâ€¦,07-08-2015 09:47,6.30E+17,Boston,
3227,Marco Rubio,1,No,1,Neutral,0.6545,None of the above,0.6545,unicornmajik,46,RT @PerezHilton: While you were watching the #GOPDebate @HillaryClinton was taking selfies with @KimKardashian! http://t.co/hYTSDeMr64 httpâ€¦,,6.30E+17,Seattle ,
492,Donald Trump,1,Yes,1,Neutral,1,Healthcare (including Medicare),0.6632,jhmilner,0,#GOPDebate #FoxNews #MegynKelly #ChrisWallace #only winners as a result the debate were the  #SocialistsDemocrats #thanks #FoxNews #debacle,,6.30E+17,Florida,Eastern Time (US & Canada)
1306,No candidate mentioned,1,No,1,Positive,0.6859,Jobs and Economy,0.6859,SeeThroughFruit,5,RT @megynkelly: .@brithume: Best closing statement was @RealBenCarson #GOPDebate,07-08-2015 09:42,6.30E+17,,Central Time (US & Canada)
2845,Marco Rubio,1,No,1,Positive,0.6828,Jobs and Economy,1,TheBaxterBean,15,So glad people finally appreciate honesty. I've got all the honesty you can handle and the battle scars to prove it. #GOPDebate,07-08-2015 09:42,6.30E+17,Manchester,London
1092,Ted Cruz,0.4247,No,0.6517,Positive,0.6517,Foreign Policy,0.4247,yamilet219,1005,"#rubio still my preference but i can see point of his critics over opportunism, inconsistency #gopdebate",07-08-2015 09:45,6.30E+17,New York City,Eastern Time (US & Canada)
3267,Marco Rubio,0.4123,No,0.6421,Neutral,0.3263,None of the above,0.4123,SteegVan,14,"#GOPDebate One critique: Not a debate as much as a ""get to know your candidates."" One Q per all the big problems in the world. Dissatisfying",,6.30E+17,,Eastern Time (US & Canada)
1699,Donald Trump,1,Yes,1,Neutral,0.3529,FOX News or Moderators,1,Animal1984Farm,0,Todd Palin &amp; Rand Paul have closed down a Senor Frogs in Puerto Vallarta together after a day of rigorous jet skiing #GOPDebate,,6.30E+17,,Dublin
12968,John Kasich,0.684,No,1,Negative,1,None of the above,0.684,ryanearldobbs,0,"Early2000s: I did political theater w/""Billionaires for Bush (or Gore)"" re corruption of $ in politics. #GOPDebate Trump: ""I buy 'em all!""",07-08-2015 09:46,6.30E+17,"Tulsa, Oklahoma, United States",Central Time (US & Canada)
9596,No candidate mentioned,0.4211,Yes,0.6489,Negative,0.3404,,0.2278,meyerlandesman,159,Who's the real illegal alien- #GOPDebate  Farrakhan on Immigration  the Mexican Bor... https://t.co/lkLfFN2LFy via @YouTube,07-08-2015 09:50,6.30E+17,Northeast USA,Eastern Time (US & Canada)
5030,Donald Trump,0.4716,No,0.6867,Negative,0.3855,FOX News or Moderators,0.4716,mikeymo22,340,"RT @gov: Most-Tweeted @GovMikeHuckabee #GOPDebate moment: saying purpose of military ""to kill people/break things"" re trans servicemembers",07-08-2015 09:50,6.30E+17,Washington DC,Central Time (US & Canada)
13719,No candidate mentioned,1,Yes,1,Neutral,1,FOX News or Moderators,0.6437,Osunga,2,RT @megynkelly: Who is your favorite from tonightâ€™s #GOPDebate on @FoxNews?,,6.30E+17,Euro Swamp,Amsterdam
13818,No candidate mentioned,1,No,1,Neutral,0.6407,None of the above,1,MYKALFURY,14,.@Mark Davis says @CarlyFiorina earned a promotion to the #GOPDebate main stage next time. http://t.co/tynvMJc7dn http://t.co/hxBPQIowMH,,6.30E+17,Fly-over town,Central Time (US & Canada)
5816,Ted Cruz,1,Yes,1,Positive,0.3682,None of the above,0.6715,MediaEqualizer,1,"RT @BuckSexton: Ted Cruz is positioning himself as all the fight and fury of Trump, without the unpredictability. Smart move. #GOPDebate",07-08-2015 09:42,6.30E+17,"Nashville, Tennessee",Central Time (US & Canada)
7956,No candidate mentioned,1,No,1,Neutral,0.6588,Racial issues,0.3412,DonaldJChump,24,RT @KLSouth: .@JebBush &amp; Valerie Jarrett having dinner together. Rupert in middle. http://t.co/2OfH3IpYTv #jeb2016 #NoMoreBushes #GOPDebate,,6.30E+17,,Central Time (US & Canada)
624,No candidate mentioned,1,No,1,Negative,0.6506,None of the above,1,DykstraDame,2,RT @TheBaxterBean: Marco Rubio Told To His Face He's 'Candidate Of Yesterday' For His Anti-Gay Bigotry http://t.co/a4EiuETTLf #GOPDebate htâ€¦,07-08-2015 09:49,6.30E+17,,Eastern Time (US & Canada)
11784,John Kasich,1,No,1,Positive,1,None of the above,1,thekerning,415,"Even the media doesn't get it,  No one won last night's #GOPDebate.  ALL the men further alienated their base.  Carly was the only star.",07-08-2015 09:43,6.30E+17,San Francisco Bay Area,Pacific Time (US & Canada)
1697,No candidate mentioned,1,No,1,Neutral,0.6966,None of the above,1,patteecakes9,728,GOOD POINT  Wait 'til you hear him in a SERIOUS Debate! #GOPDebate #FoxNews  https://t.co/IGhQI3LgH9,,6.30E+17,Il USA,Eastern Time (US & Canada)
8158,Donald Trump,1,No,1,Negative,1,None of the above,1,borsato79,0,RT @ThePatriot143: Debbie Blocks Tweeter Who Questioned Dem Debate Schedule  http://t.co/gXNa0TOqaQ #GOPDebate @DWStweets http://t.co/kxIKFâ€¦,07-08-2015 09:49,6.30E+17,Tufts University,Eastern Time (US & Canada)
5863,No candidate mentioned,1,Yes,1,Positive,1,Women's Issues (not abortion though),1,JillMillerZimon,0,@RealBenCarson @DrBenCarson2016 #GOPDebate I loved this quote and how true it is!!! http://t.co/9SBG2rXkVO,07-08-2015 09:42,6.30E+17,.... ranchin' in central #TX ,Mountain Time (US & Canada)
9320,Rand Paul,1,No,1,Neutral,0.6667,None of the above,1,jojo21,17,RT @gillistrill: What is your favorite meme? @GOP #GOPDebate #AskGOP,,6.30E+17,"Emerald City, Land of OZ",Eastern Time (US & Canada)
6407,Donald Trump,0.7063,No,1,Neutral,1,FOX News or Moderators,1,Transcend_Rsrch,0,Officials warn you could die playing the #GOPdebate Drinking Game...but if any of them are elected you'll die... http://t.co/VfO2Diau0y,,6.30E+17,,
5765,No candidate mentioned,1,No,1,Positive,1,FOX News or Moderators,0.6705,learjetter,1,"RT @RickCanton: From what I've seen so far from this top ten debate, #CarlyFiorina is winning this thing. #Carly2016 #GOPDebate #WakeUpAmerâ€¦",07-08-2015 09:43,6.30E+17,"Winfield, Ks, U.S.A.",
10120,No candidate mentioned,1,No,1,Positive,0.6608,Immigration,0.6608,mo2g,29,Rightly so Frank. Rightly so. #GOPDebate  https://t.co/32CFasI17d,07-08-2015 09:44,6.30E+17,lux et veritas,Eastern Time (US & Canada)
8878,Donald Trump,0.4782,Yes,0.6915,Positive,0.3617,None of the above,0.4782,AtheistGrace,0,"@ShawnSuth Don't be misled. It was like a 5/10 tweet party. The #GOPDebate, on the other hand, would have been incredible.",07-08-2015 09:42,6.30E+17,"Provo, UT",
14447,No candidate mentioned,1,No,1,Negative,1,None of the above,1,clairefinn54,9,RT @lesleyabravanel: My girl Hillary Clinton whips and nae naes like nobody's business. That's why Trump had to pay her to come to his weddâ€¦,07-08-2015 09:46,6.30E+17,Fayettechill/ 'Homa,Eastern Time (US & Canada)
4992,Donald Trump,1,Yes,1,Neutral,1,Healthcare (including Medicare),0.6632,jhmilner,0,#GOPDebate #FoxNews #MegynKelly #ChrisWallace #only winners as a result the debate were the  #SocialistsDemocrats #thanks #FoxNews #debacle,,6.30E+17,Florida,Eastern Time (US & Canada)
11605,No candidate mentioned,1,Yes,1,Positive,1,None of the above,1,Momfullofhope,2,"RT @AlexisinNH: Two debates, one winner: Carly http://t.co/piewA1JCcc #Carly2016 #GOPDebate",07-08-2015 09:44,6.30E+17,Colorado,Mountain Time (US & Canada)
13539,No candidate mentioned,1,No,1,Neutral,1,None of the above,0.6705,jasonrlee,3,"RT @GovernorPerry: .@GovernorPerry's ""On Fire"" Debate Performance https://t.co/aRmJN6vwPG #GOPDebate #Perry2016 #tcot",,6.30E+17,,
8700,Jeb Bush,0.4444,Yes,0.6667,Positive,0.6667,Foreign Policy,0.4444,BraveConWarrior,2,"RT @Tombx7M: Cruz had a great night.
#hannity #GOPDebate",07-08-2015 09:43,6.30E+17,California,Pacific Time (US & Canada)
13746,Chris Christie,1,Yes,1,Neutral,1,None of the above,1,FasterTrader,1,"RT @pjamesjp1: http://t.co/ys2n1uflHT
#GOPDebate wrapup. @tgradous @marylene58 @LLMajer @larryvance47 
@JVER1 @LVNancy @qnoftherealm @usvetâ€¦",,6.30E+17,CA,Pacific Time (US & Canada)
2006,Marco Rubio,0.3872,No,0.6222,Negative,0.6222,None of the above,0.3872,jreyes_6,0,RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t.â€¦,07-08-2015 09:50,6.30E+17,"Oregon, USA",
8143,No candidate mentioned,1,No,1,Negative,0.6813,None of the above,0.6484,dgtlUbun2,1,"RT @FrankConniff: Fox News #GOPDebate interviewer to candidates: ""What's your take on these GOP talking points I'm feeding you?""",07-08-2015 09:49,6.30E+17,"Cedar Park, Texas",
1122,No candidate mentioned,1,Yes,1,Positive,1,Women's Issues (not abortion though),0.7197,AnxiousEngine,0,"RT @ChristiChat: #WakeUpAmerica

@SheriffClarke I Agree!

@CarlyFiorina is a FORCE!

#TCOT
#SisterPatriots
#Carly2016
#GOPDebate http://t.câ€¦",07-08-2015 09:44,6.30E+17,,
44,No candidate mentioned,1,No,1,Neutral,0.6869,Racial issues,0.6869,Blessed_Sharday,450,"RT @akbarjenkins: Maybe the GOP just got Piven &amp; Cloward confused with Pinkard &amp; Bowden? ""She thinks I steal cars..."" @kevinbaker @KevinMKrâ€¦",,6.30E+17,,Arizona
575,No candidate mentioned,0.4585,No,0.6771,Negative,0.6771,None of the above,0.4585,chickenman246,182,"RT @AmyMek: We all owe @realDonaldTrump a huge thank you 4 exposing to the worldðŸ‘‰@megynkelly, Chris Wallace, &amp; @FrankLuntz are true Rhinos!â€¦",07-08-2015 09:50,6.30E+17,Here,
4018,No candidate mentioned,0.4539,No,0.6737,Positive,0.3579,None of the above,0.4539,myrlciakvvx,0,RT @MelissaGracey: Credit for this joke goes to someone else but it is funny! #GOPDebate http://t.co/iCreDSSplR,07-08-2015 09:45,6.30E+17,,
